,target,utterance
46,about_me_personally__my_past__DSR,dsr?
47,about_me_personally__my_past__DSR,did she study data science?
48,about_me_personally__my_past__DSR,does rita have an opinion on fake news?
49,about_me_personally__my_past__DSR,how long did rita spend studying to become a data scientist?
50,about_me_personally__my_past__DSR,did rita attend a course to learn programming?
51,about_me_personally__my_past__DSR,did she study ml?
52,about_me_personally__my_past__DSR,how did rita learn about data science?
53,about_me_personally__my_past__DSR,How did you become a data scientist?
54,about_me_personally__my_past__DSR,what is DSR?
55,about_me_personally__my_past__DSR,was the bootcamp she did to learn machine learning any good?
56,about_me_personally__my_past__DSR,what is that masters programme rita did to become a data scientist?
57,about_me_personally__my_past__DSR,what does dsr stand for?
58,about_me_personally__my_past__Khaled,what was the first thing she translated?
59,about_me_personally__my_past__Khaled,who is rita's role model?
60,about_me_personally__my_past__Khaled,how is Saudi Arabia?
61,about_me_personally__my_past__Khaled,does she have friends in the arabic world?
62,about_me_personally__my_past__Khaled,what was the first collection of short stories she published?
63,about_me_personally__my_past__Khaled,who is the saudi-author Rita worked with?
64,about_me_personally__my_past__Khaled,Is rita a grateful person.
65,about_me_personally__my_past__Khaled,how did she start her career as a translator?
66,about_me_personally__my_past__Khaled,are arab men monkeys?
67,about_me_personally__my_past__Khaled,are all arabs terrorists?
68,about_me_personally__my_past__Khaled,I would appreciate it if you could tell me more about how she started translating.
69,about_me_personally__my_past__Khaled,what's she grateful for?
70,about_me_personally__my_past__Khaled,"she did publish several books according to her CV, which was the first one?"
71,about_me_personally__my_past__Khaled,"when she started translating from arabic, she got to meet a saudi?"
72,about_me_personally__my_past__Khaled,can you please tell me more about her beginnings as a translator?
73,about_me_personally__my_past__Khaled,what was the first compilation of short stories she published?
74,about_me_personally__my_past__Khaled,is the arab world important to rita?
75,about_me_personally__my_past__Khaled,Is Rita trust-worthy?
76,about_me_personally__my_past__Khaled,how friendly is rita?
77,about_me_personally__my_past__Khaled,what do people make of rita?
78,about_me_personally__my_past__Khaled,what were her beginnings as a translator?
79,about_me_personally__my_past__Khaled,when did she start publishing short stories of arabic writers?
80,about_me_personally__my_past__Khaled,who was the first arabic author she translated?
81,about_me_personally__my_past__Khaled,who is the first arabic author rita translated?
82,about_me_personally__my_past__Khaled,do arab men beat their women?
83,about_me_personally__my_past__Khaled,who is rita's friend?
84,about_me_personally__my_past__Khaled,what are rita's virtues?
85,about_me_personally__my_past__Khaled,when did rita start working as a translator?
86,about_me_personally__my_past__Khaled,were any of her translations published in a book?
87,about_me_personally__my_past__Khaled,introduce me to some of rita's friends.
88,about_me_personally__my_past__Khaled,does she have many friends?
89,about_me_personally__my_past__Khaled,but how do people see rita?
90,about_me_personally__my_past__Khaled,did she have a support system from the arab world?
91,about_me_personally__my_past__Khaled,"rita translated two compilations of short-stories, who was the author?"
92,about_me_personally__my_past__Khaled,Is Rita reliable?
93,about_me_personally__my_past__Khaled,is rita trustworthy?
94,about_me_personally__my_past__Khaled,did her employers consider her a good translator from arabic?
95,about_me_personally__my_past__Khaled,I just want to know if rita is reliable.
96,about_me_personally__my_past__Khaled,does rita have arab friends?
97,about_me_personally__my_past__Khaled,let me see how she behaves
98,about_me_personally__my_past__Khaled,What is Rita thankful for?
99,about_me_personally__my_past__Khaled,Does she have the guts to see through what she's started?
100,about_me_personally__my_past__Khaled,has rita closed a deal before?
101,about_me_personally__my_past__Khaled,how many friends does she have?
102,about_me_personally__my_past__Khaled,Did she work while in uni?
103,about_me_personally__my_past__Khaled,did she start working during her career studies?
104,about_me_personally__my_past__as_immigrant,does she like to play board games?
105,about_me_personally__my_past__as_immigrant,how old was she when she moved to Germany?
106,about_me_personally__my_past__as_immigrant,what does rita miss the most about her life in spain?
107,about_me_personally__my_past__as_immigrant,how many years has she lived in Germany?
108,about_me_personally__my_past__as_immigrant,does she play board games?
109,about_me_personally__my_past__as_immigrant,did rita live in colonaden?
110,about_me_personally__my_past__as_immigrant,how long has she lived abroad?
111,about_me_personally__my_past__as_immigrant,does she like to talk about the weather?
112,about_me_personally__my_past__as_immigrant,did she move to Germany a while ago already?
113,about_me_personally__my_past__as_immigrant,did she celebrate her marriage in spain?
114,about_me_personally__my_past__as_immigrant,how is the weather like in Germany?
115,about_me_personally__my_past__as_immigrant,what does rita miss of spain?
116,about_me_personally__my_past__as_immigrant,does Rita miss Hamburg?
117,about_me_personally__my_past__as_immigrant,did rita party in sankt pauli back when she lived in Hamburg?
118,about_me_personally__my_past__as_immigrant,does rita miss st. pauli?
119,about_me_personally__my_past__as_immigrant,did she marry in spain?
120,about_me_personally__my_past__as_immigrant,where did she get married?
121,about_me_personally__my_past__as_immigrant,where did she marry her husband?
122,about_me_personally__my_past__as_immigrant,where did rita live in Hamburg?
123,about_me_personally__my_past__as_immigrant,did rita go a lot to Sankt Pauli?
124,about_me_personally__my_past__as_immigrant,How many years has she spent in Germany?
125,about_me_personally__my_past__as_immigrant,does rita consider herself an expat or an immigrant?
126,about_me_personally__my_past__as_immigrant,Does she like to play cards against humanity?
127,about_me_personally__my_past__as_immigrant,does rita have the german nationality?
128,about_me_personally__my_past__as_immigrant,did rita live in hamburg?
129,about_me_personally__my_past__as_immigrant,did she move to Germany many years ago?
130,about_me_personally__my_past__as_immigrant,does she like living in Berlin?
131,about_me_personally__my_past__as_immigrant,does she like berlin?
132,about_me_personally__my_past__as_immigrant,how would you asses rita's character on rainy days
133,about_me_personally__my_past__as_immigrant,"how is berlin, in her opinion?"
134,about_me_personally__my_past__as_immigrant,is the life of a freelancer very lonely?
135,about_me_personally__my_past__as_immigrant,was rita living next to a lake in Hamburg?
136,about_me_personally__my_past__as_immigrant,what does she miss most of her life back in her home town
137,about_me_personally__my_past__as_immigrant,is she an expat?
138,about_me_personally__my_past__as_immigrant,how different is berlin to hamburg?
139,about_me_personally__my_past__as_immigrant,does rita like living in berlin?
140,about_me_personally__my_past__as_immigrant,how was her life in Hamburg?
141,about_me_personally__my_past__as_immigrant,what about now?
142,about_me_personally__my_past__as_immigrant,How long has she lived in Germany?
143,about_me_personally__my_past__as_immigrant,"what does rita like better, Hamburg or Berlin?"
144,about_me_personally__my_past__as_immigrant,how is live as an immigrant in Germany?
145,about_me_personally__my_past__as_immigrant,how was her house like back in Hamburg?
146,about_me_personally__my_past__as_immigrant,How many years has she lived as an immigrant?
147,about_me_personally__my_past__as_immigrant,does rita like Berlin?
148,about_me_personally__my_past__as_immigrant,did she live in the city center back when she was in Hamburg?
149,about_me_personally__my_past__as_immigrant,would she recommend the life of a freelancer?
150,about_me_personally__my_past__as_immigrant,how is the work as a freelancer?
151,about_me_personally__my_past__as_immigrant,Where is Berlin?
152,about_me_personally__my_past__as_immigrant,where did she go after college?
153,about_me_personally__my_past__as_immigrant,does rita miss living in spain?
154,about_me_personally__my_past__as_immigrant,does rita see herself as an immigrant?
155,about_me_personally__my_past__as_immigrant,what is the best thing about living in Germany?
156,about_me_personally__my_past__as_linguist,when did rita start learning arabic?
157,about_me_personally__my_past__as_linguist,did someone force her to study arabic philology?
158,about_me_personally__my_past__as_linguist,why didn't she study literature?
159,about_me_personally__my_past__as_linguist,why did she become a linguist in the first place?
160,about_me_personally__my_past__as_linguist,does rita have arab family?
161,about_me_personally__my_past__as_linguist,did someone encourage her to study languages instead of informatics back when she started college?
162,about_me_personally__my_past__as_linguist,why did she not study something more related to software development at uni?
163,about_me_personally__my_past__as_linguist,did rita already know arabic before she went to Granada?
164,about_me_personally__my_past__as_linguist,what was the reason behind her first career choice?
165,about_me_personally__my_past__as_linguist,did she study arabic becuase she wasn't accepted in informatic?
166,about_me_personally__my_past__as_linguist,what did she study first?
167,about_me_personally__my_past__as_linguist,why arabic?
168,about_me_personally__my_past__as_linguist,was arabic philology her career of choice?
169,about_me_personally__my_past__as_linguist,was arabic philoglogy her first career choice?
170,about_me_personally__my_past__as_linguist,why did rita not study Machine Learning as her first career choice?
171,about_me_personally__my_past__as_linguist,What was Rita's first career?
172,about_me_personally__my_past__as_linguist,was it because she knew a lot of maroccans that she to study arabic?
173,about_me_personally__my_past__as_linguist,when did she first become interested in studying languages?
174,about_me_personally__my_past__as_linguist,would she have rather studied computer science at university?
175,about_me_personally__my_past__as_linguist,why did she study arabic philology?
176,about_me_personally__my_past__as_linguist,"could she have studied data science at college and if so, why did she she study arabic philology?"
177,about_me_personally__my_past__as_linguist,did she started learning arabic in college?
178,about_me_personally__my_past__as_linguist,did she study arabic philology because her parents told her to?
179,about_me_personally__my_past__as_linguist,did she have a choice or did she just study arabic philology because her grades in highschool weren't high enough?
180,about_me_personally__my_past__as_linguist,did she study languages in college?
181,about_me_personally__my_past__as_linguist,was it because of her grades in highschool that she decided to study arabic philology?
182,about_me_personally__my_past__as_linguist,"did she have a previous conexion to the arab world, before deciding to study arabic in uni?"
183,about_me_personally__my_past__as_linguist,could she study data science back when she decided to study arabic?
184,about_me_personally__my_past__as_linguist,is there a particular reason why she decided to learn arabic?
185,about_me_personally__my_past__as_linguist,what drove her to study arabic philology?
186,about_me_personally__my_past__as_linguist,what made her major in arabic?
187,about_me_personally__my_past__as_linguist,she studied arabic at college?
188,about_me_personally__my_past__as_linguist,was arabic her first career choice?
189,about_me_personally__my_past__as_linguist,"arabic philology seems like an odd career choice to me, if I am being completely honest."
190,about_me_personally__my_past__as_linguist,did rita already know arabic before starting her studies in arabic philology? 
191,about_me_personally__my_past__as_linguist,did she major in linguistics?
192,about_me_personally__my_past__as_linguist,I wouldn't have chosen to study arabic philology.
193,about_me_personally__my_past__as_linguist,what was it about the arabic language that made her decide to learn it?
194,about_me_personally__my_past__as_linguist,has she ever been to morocco?
195,about_me_personally__my_past__as_linguist,who in his right mind would study arabic in university?
196,about_me_personally__my_past__as_linguist,what was what first drove her to start a career in linguistics?
197,about_me_personally__my_past__as_linguist,why did she focus on studying languages first?
198,about_me_personally__my_past__as_linguist,Was there a particular reason for studying arabic?
199,about_me_personally__my_past__as_linguist,why did she study linguistics?
200,about_me_personally__my_past__as_linguist,what drove her start learning arabic?
201,about_me_personally__my_past__as_writer,what is her story with literature?
202,about_me_personally__my_past__as_writer,when did rita start writing?
203,about_me_personally__my_past__as_writer,what drove her to become a writer?
204,about_me_personally__my_past__as_writer,why her interest in literature?
205,about_me_personally__my_past__as_writer,how did rita start to write?
206,about_me_personally__my_past__as_writer,why did she write a novel?
207,about_me_personally__my_past__as_writer,when did she start writing literature?
208,about_me_personally__my_past__as_writer,premio nadal
209,about_me_personally__my_past__as_writer,why did she want to work with literature in the first place?
210,about_me_personally__my_past__as_writer,why did rita become interested in writing?
211,about_me_personally__my_past__as_writer,is her grandfather famous in spain?
212,about_me_personally__my_past__as_writer,and who was her grandpa?
213,about_me_personally__my_past__as_writer,does someone in her family write?
214,about_me_personally__my_past__as_writer,is her novel related to her past?
215,about_me_personally__my_past__as_writer,does her past play a big role in who she has become?
216,about_me_personally__my_past__as_writer,who was the famous writer in her family?
217,about_me_personally__my_past__as_writer,tell me more about rita's literary past?
218,about_me_personally__my_past__as_writer,who was her father?
219,about_me_personally__my_past__as_writer,did she always want to become a writer?
220,about_me_personally__my_past__as_writer,is someone in rita's family a writer?
221,about_me_personally__my_past__as_writer,what was her main reason for becoming a writer?
222,about_me_personally__my_past__as_writer,grandfather?
223,about_me_personally__my_past__as_writer,who was her grandfather?
224,about_me_personally__my_past__as_writer,what drove her to become interested in literature?
225,about_me_personally__my_past__as_writer,Who is her father?
226,about_me_personally__my_past__as_writer,when did rita become interested in putting her thoughts on paper?
227,about_me_personally__my_past__as_writer,when did she begin her journey as literature enthusiast?
228,about_me_personally__my_past__as_writer,when did she start to write short stories?
229,about_me_personally__my_past__as_writer,did she start writing short stories when she was little?
230,about_me_personally__my_past__as_writer,where is her interest in literature rooted?
231,about_me_personally__my_past__as_writer,who encouraged her to become a writer?
232,about_me_personally__my_past__as_writer,was she a bookworm as a kid?
233,about_me_personally__my_past__as_writer,is rita a good story-teller?
234,about_me_personally__my_past__as_writer,did she always want to write a novel?
235,about_me_personally__my_past__as_writer,who is her favorite writer?
236,about_me_personally__my_past__as_writer,did she write short stories as a little girl?
237,about_me_personally__my_past__as_writer,is rita a good narrator?
238,about_me_personally__my_past__as_writer,is rita any good as a narrator?
239,about_me_personally__my_past__as_writer,when did she start developing and interest for literature?
240,about_me_personally__my_past__as_writer,does someone else write in her family?
241,about_me_personally__my_past__as_writer,when did she decide she wanted to be a writer?
242,about_me_personally__my_past__as_writer,why did rita want to become a writer?
243,about_me_personally__my_past__as_writer,did she read a lot of books as a child?
244,about_me_personally__my_past__before_18,does rita consider her mother a friend?
245,about_me_personally__my_past__before_18,are her parents german?
246,about_me_personally__my_past__before_18,where was rita born?
247,about_me_personally__my_past__before_18,does she have an older sister?
248,about_me_personally__my_past__before_18,does she have a brother?
249,about_me_personally__my_past__before_18,how was rita as a child?
250,about_me_personally__my_past__before_18,does she have any siblings?
251,about_me_personally__my_past__before_18,does rita have German parents?
252,about_me_personally__my_past__before_18,Who are Rita's family?
253,about_me_personally__my_past__before_18,Can you tell me something personal about Rita?
254,about_me_personally__my_past__before_18,has rita a close relationship to her sister?
255,about_me_personally__my_past__before_18,where do her parents come from?
256,about_me_personally__my_past__before_18,where did she grow up?
257,about_me_personally__my_past__before_18,Is someone in rita's family from the arab world?
258,about_me_personally__my_past__before_18,did rita grow up speaking two languages?
259,about_me_personally__my_past__before_18,where was she born?
260,about_me_personally__my_past__before_18,from which part of spain does she come from?
261,about_me_personally__my_past__before_18,what is her home town?
262,about_me_personally__my_past__before_18,rita's family
263,about_me_personally__my_past__before_18,does she keep in touch with her family?
264,about_me_personally__my_past__before_18,what can you tell me about rita's past?
265,about_me_personally__my_past__before_18,did rita study german as a child?
266,about_me_personally__my_past__before_18,did she grow up in madrid?
267,about_me_personally__my_past__before_18,did rita grow up in Germany?
268,about_me_personally__my_past__before_18,how long is it since rita left her parent's house?
269,about_me_personally__my_past__before_18,where is she from?
270,about_me_personally__my_past__before_18,how old is rita's sister?
271,about_me_personally__my_past__before_18,Who are Rita's parents?
272,about_me_personally__my_past__before_18,I want to know more about rita
273,about_me_personally__my_past__before_18,is rita's father arab?
274,about_me_personally__my_past__before_18,where did rita grow up?
275,about_me_personally__my_past__before_18,Do you have a EU work permit?
276,about_me_personally__my_past__before_18,is rita spanish?
277,about_me_personally__my_past__before_18,where does she come from?
278,about_me_personally__my_past__before_18,are rita's parents spanish?
279,about_me_personally__my_past__before_18,is she from madrid?
280,about_me_personally__my_past__before_18,Does Rita have siblings?
281,about_me_personally__my_past__before_18,family?
282,about_me_personally__my_past__before_18,Where is she from?
283,about_me_personally__my_past__before_18,where is vitoria?
284,about_me_personally__my_past__before_18,I would like to know about Rita's past.
285,about_me_personally__my_past__before_18,who is her mother?
286,about_me_personally__my_past__before_18,did rita behave as a kid?
287,about_me_personally__my_past__before_18,has rita a close relationship with her sister?
288,about_me_personally__my_past__before_18,I would like to know more about rita's upbringing?
289,about_me_personally__my_past__before_18,where does rita come from?
290,about_me_personally__my_past__before_18,How good is Rita's German?
291,about_me_personally__my_past__before_18,how old was rita when she left the house of her parents?
292,about_me_personally__my_past__before_18,the part where she studies german
293,about_me_personally__my_past__before_18,were her parents strict when she was growing up?
294,about_me_personally__my_past__before_18,Where does Rita come from?
295,about_me_personally__my_past__before_18,"My expectations are pretty high, mind you. Can you tell me more about Rita's past?"
296,about_me_personally__my_past__before_18,when did rita become independent?
297,about_me_personally__my_past__before_18,Where were you born?
298,about_me_personally__my_past__before_18,is she saudi?
299,about_me_personally__my_past__before_18,was rita brought up by very strict parents?
300,about_me_personally__my_past__before_18,Does Rita have a family?
301,about_me_personally__my_past__before_18,did rita grow up in Madrid?
302,about_me_personally__my_past__before_18,is she from germany?
303,about_me_personally__my_past__career_switch_in_detail,Is Rita happy with her caeere switch?
304,about_me_personally__my_past__career_switch_in_detail,What does Rita miss of being a translator?
305,about_me_personally__my_past__career_switch_in_detail,Did Rita do the right thing when she switched careers?
306,about_me_personally__my_past__career_switch_in_detail,is she any good in math?
307,about_me_personally__my_past__career_switch_in_detail,What are the perks of being and engineer?
308,about_me_personally__my_past__career_switch_in_detail,Does Rita still write short stories?
309,about_me_personally__my_past__career_switch_in_detail,Does she miss her work as a translator?
310,about_me_personally__my_past__career_switch_in_detail,Does she regret her career switch?
311,about_me_personally__my_past__career_switch_in_detail,Does Rita wish she hadn't become a Data Scientist?
312,about_me_personally__my_past__career_switch_in_detail,What does Rita miss of being a liguist?
313,about_me_personally__my_past__career_switch_in_detail,What has Rita accomplished so far?
314,about_me_personally__my_past__career_switch_in_detail,did rita study machine learning from the get go?
315,about_me_personally__my_past__career_switch_in_detail,how good is she with calculus?
316,about_me_personally__my_past__career_switch_in_detail,"Hmmm, interesting. How did she decide to become a data scientist?"
317,about_me_personally__my_past__career_switch_in_detail,is she proud of herself?
318,about_me_personally__my_past__career_switch_in_detail,does she still translate from now and then?
319,about_me_personally__my_past__career_switch_in_detail,wasn't she a translator or something?
320,about_me_personally__my_past__career_switch_in_detail,was she always good at math?
321,about_me_personally__my_past__career_switch_in_detail,"she seems a bit obsessed with languages in general, in my opinion."
322,about_me_personally__my_past__career_switch_in_detail,did something happen to her that made her decide to study machine learning?
323,about_me_personally__my_past__career_switch_in_detail,what is the most courageous thing rita has ever done?
324,about_me_personally__my_past__career_switch_in_detail,what is she the most proud of?
325,about_me_personally__my_past__career_switch_in_detail,How bad did she wan't to change careers?
326,about_me_personally__my_past__career_switch_in_detail,Does she like being an NLP Engineer
327,about_me_personally__my_past__career_switch_in_detail,are her mathematical skills reliable?
328,about_me_personally__my_past__career_switch_in_detail,is she proud of whom she has become?
329,about_me_personally__my_past__career_switch_in_detail,has rita studied conversation design
330,about_me_personally__my_past__career_switch_in_detail,did rita study nlp?
331,about_me_personally__my_past__career_switch_in_detail,Does Rita regret becoming a Data Scientist?
332,about_me_personally__my_past__career_switch_in_detail,is she good with algebra?
333,about_me_personally__my_past__career_switch_in_detail,what did she do before data science?
334,about_me_personally__my_past__career_switch_in_detail,"is rita also a data scientist, like her husband?"
335,about_me_personally__my_past__career_switch_in_detail,did rita study ml
336,about_me_personally__my_past__career_switch_in_detail,Is there anything she misses about translating?
337,about_me_personally__my_past__career_switch_in_detail,what is an nlp engineer?
338,about_me_personally__my_past__career_switch_in_detail,is rita to be trusted with a bunch of mathematical operations?
339,about_me_personally__my_past__career_switch_in_detail,how much story does rita have with computers?
340,about_me_personally__my_past__career_switch_in_detail,How desperate was Rita when she switched careers?
341,about_me_personally__my_past__career_switch_in_detail,Does she have a mathematical background?
342,about_me_personally__my_past__career_switch_in_detail,Does she want to retire as a linguist or as an engineer?
343,about_me_personally__my_past__career_switch_in_detail,what did rita do before becoming a data scientist?
344,about_me_personally__my_past__career_switch_in_detail,What is Rita's most impressive accomplishment?
345,about_me_personally__my_past__career_switch_in_detail,"That's interesting, but I was thinking more about what she did before becoming a data scientist"
346,about_me_personally__my_past__career_switch_in_detail,what took her so long to change her career path?
347,about_me_personally__my_past__career_switch_in_detail,which advantages does Rita see to scwitching careers as she did?
348,about_me_personally__my_past__career_switch_in_detail,is she an an nlp engineer
349,about_me_personally__my_past__career_switch_in_detail,Was Rita desperate to change her career?
350,about_me_personally__my_past__career_switch_in_detail,is rita a data scientis?
351,about_me_personally__my_past__career_switch_in_detail,Does Rita still write literature?
352,about_me_personally__my_past__career_switch_in_detail,is she a competent professional?
353,about_me_personally__my_past__career_switch_in_detail,how skilled is rita with numbers?
354,about_me_personally__my_past__career_switch_reason,Why did she decide to learn something completely different so late in life?
355,about_me_personally__my_past__career_switch_reason,"you probably don't know why rita decided to study machine learning, right?"
356,about_me_personally__my_past__career_switch_reason,is she the type of person that only works well on their own?
357,about_me_personally__my_past__career_switch_reason,Is there a particular reason why she became an engineer?
358,about_me_personally__my_past__career_switch_reason,is she a people-person?
359,about_me_personally__my_past__career_switch_reason,how good are rita's social skills?
360,about_me_personally__my_past__career_switch_reason,Why did she switch careers from linguistics?
361,about_me_personally__my_past__career_switch_reason,does rita like to spend time with people?
362,about_me_personally__my_past__career_switch_reason,is rita good at math?
363,about_me_personally__my_past__career_switch_reason,Could you please explain to me why in hell she would prefer to work as an engineer over working as a translator?
364,about_me_personally__my_past__career_switch_reason,what does rita value the most of working in a team?
365,about_me_personally__my_past__career_switch_reason,Is there something specific she misses from Spain?
366,about_me_personally__my_past__career_switch_reason,how goo is rita with people?
367,about_me_personally__my_past__career_switch_reason,when did she become an nlp engineer?
368,about_me_personally__my_past__career_switch_reason,does rita miss being surrounded by spanish people?
369,about_me_personally__my_past__career_switch_reason,How good is she with people?
370,about_me_personally__my_past__career_switch_reason,Is rita comfortable working with others?
371,about_me_personally__my_past__career_switch_reason,Is she a team-player?
372,about_me_personally__my_past__career_switch_reason,Does she like to work in a team?
373,about_me_personally__my_past__career_switch_reason,why did she become a data scientist?
374,about_me_personally__my_past__career_switch_reason,is she a team player?
375,about_me_personally__my_past__career_switch_reason,Why did she want to become a data scientist?
376,about_me_personally__my_past__career_switch_reason,It surprises me that she would choose to study data science.
377,about_me_personally__my_past__career_switch_reason,I am baffled by the fact that she wanted to become a data scientist.
378,about_me_personally__my_past__career_switch_reason,I thought she was a translator.
379,about_me_personally__my_past__career_switch_reason,was she tired of being alone at home?
380,about_me_personally__my_past__career_switch_reason,how would she rate her social skills?
381,about_me_personally__my_past__career_switch_reason,does she prefer to work with an international team?
382,about_me_personally__my_past__career_switch_reason,Does she miss the Spanish people?
383,about_me_personally__my_past__career_switch_reason,why did she switch careers?
384,about_me_personally__my_past__career_switch_reason,why would she leave her true vocation to do something else that is completely unrelated?
385,about_me_personally__my_past__career_switch_reason,does rita like to work in teams?
386,about_me_personally__my_past__career_switch_reason,I'd lie if I said I understood why Rita became a Data Scientist.
387,about_me_personally__my_past__career_switch_reason,I thought she liked being a translator.
388,about_me_personally__my_past__career_switch_reason,what does rita like about working with other people
389,about_me_personally__my_past__career_switch_reason,Does she work well in a team?
390,about_me_personally__my_past__career_switch_reason,what does rita value the most about working in a company?
391,about_me_personally__my_past__career_switch_reason,"why in hell would she switch careers, makes no sense to me?"
392,about_me_personally__my_past__career_switch_reason,isn't her true vocation studying how languages are structured?
393,about_me_personally__my_past__career_switch_reason,does rita work well in collaboration with other people?
394,about_me_personally__my_past__career_switch_reason,"rita switched careers, why?"
395,about_me_personally__my_past__career_switch_reason,What is important for Rita in a job?
396,about_me_personally__my_past__career_switch_reason,I don't get why she decided to become a numbers person.
397,about_me_personally__my_past__career_switch_reason,I am struggling to understand the reason behind her decision to change her profession.
398,about_me_personally__my_past__career_switch_reason,does rita like to work as an employee?
399,about_me_personally__my_past__career_switch_reason,is rita a social animal?
400,about_me_personally__my_past__career_switch_reason,I thought she was happy as a translator.
401,about_me_personally__my_past__career_switch_reason,data science doesn't seem to be her true vocation.
402,about_me_personally__my_past__career_switch_reason,Why did you stop translating?
403,about_me_personally__my_past__career_switch_reason,"I don't think she should have changed her career, she seems like a fine linguist to me!"
404,about_me_personally__my_past__career_switch_reason,"I don't get it, but wasn't she a successful translator?"
405,about_me_personally__my_past__rating_as_university_student,did rita party a lot during the time she spent in Granada?
406,about_me_personally__my_past__rating_as_university_student,was rita always the best student in the classroom when studying arabic?
407,about_me_personally__my_past__rating_as_university_student,what were rita's university scores?
408,about_me_personally__my_past__rating_as_university_student,did she get good marks at university?
409,about_me_personally__my_past__rating_as_university_student,was rita liked by her university teachers?
410,about_me_personally__my_past__rating_as_university_student,was she a pot head back when she was at uni?
411,about_me_personally__my_past__rating_as_university_student,what were rita's grades at uni?
412,about_me_personally__my_past__rating_as_university_student,how excellent was rita as a student?
413,about_me_personally__my_past__rating_as_university_student,did she focus on her exams?
414,about_me_personally__my_past__rating_as_university_student,did she go out a lot during university?
415,about_me_personally__my_past__rating_as_university_student,tell me how her grades were in unversity?
416,about_me_personally__my_past__rating_as_university_student,how mediocre was rita in college really?
417,about_me_personally__my_past__rating_as_university_student,was rita an outstanding sutdent or a mediocre one?
418,about_me_personally__my_past__rating_as_university_student,did she like studying in Granada?
419,about_me_personally__my_past__rating_as_university_student,did she have many friends in university?
420,about_me_personally__my_past__rating_as_university_student,was she a party girl in college?
421,about_me_personally__my_past__rating_as_university_student,was rita popular in in college?
422,about_me_personally__my_past__rating_as_university_student,show me the grades she received in college.
423,about_me_personally__my_past__rating_as_university_student,was she an excellent studen?
424,about_me_personally__my_past__rating_as_university_student,what was the lowest grade she got in college?
425,about_me_personally__my_past__rating_as_university_student,did she experience a lot during university?
426,about_me_personally__my_past__rating_as_university_student,did rita receive good grades on her exams?
427,about_me_personally__my_past__rating_as_university_student,did she study a lot in Granada?
428,about_me_personally__my_past__rating_as_university_student,I want to see the scores rita obtained in college.
429,about_me_personally__my_past__rating_as_university_student,did she like granada?
430,about_me_personally__my_past__rating_as_university_student,did she graduate with honors from college?
431,about_me_personally__my_past__rating_as_university_student,how much did rita study at university?
432,about_me_personally__my_past__rating_as_university_student,does rita keep her university scores?
