topic_level_0,topic_level_1,intent,emission,fallback_topic_level_1,fallback_topic_level_0
about_me_personally,today,interests,"As a thirty-year-old woman who has already been for over eleven years in a committed relationship with the man of her dreams, Rita's favorite activities are the netflix-and-chilling-related kind they engage in together. Actually, as long as she has him by her side, she's open to almost anything, because he's who helps her redefine her surroundings, which doesn't necessarily mean she's against the idea of a job involving a reasonable amount of traveling.","Tell me, is it Rita's current status in life, her stance, her circumstances, her hobbies, her features, more so, you're after? If so, phrase your question in a way that I can twig your meaning, you know, bereft of humor and the like.","Don't tell me, you're after the titbits. Don't you worry, leave it to me to surprise you. However, I'd appreciate a push, an instruction of sorts, to get a sense of the direction in which I should start looking."
about_me_personally,today,Jose,"Rita's husband is Jose. He comes from Granada and they met on a Saturday at a pub about to close down for the night over a foosball table. That was eleven years ago. 

He is also the Data Scientist who encouraged and guided her to become one herself. To take a look at his impressive curriculum, press <a href=""https://www.linkedin.com/in/jgmorenotorrres/"" target=""_blank"">here</a>. They both live together in Berlin, from where she is not planning on moving any time soon.","Tell me, is it Rita's current status in life, her stance, her circumstances, her hobbies, her features, more so, you're after? If so, phrase your question in a way that I can twig your meaning, you know, bereft of humor and the like.","Don't tell me, you're after the titbits. Don't you worry, leave it to me to surprise you. However, I'd appreciate a push, an instruction of sorts, to get a sense of the direction in which I should start looking."
about_me_personally,today,opinion_society,"Rita currently lives with her husband in Berlin, where she is almost like any other run-of-the-mill tax-payer. She is not particularly good at recycling, in that she considers that anything that may have ever bumped into anything resembling a tree belongs in the same garbage bin, and veganism is still not her credence of choice. And all the above even though she studied in a school under the German education system, where she, of course, was encouraged to climb to the specimens at hand, lest she wanted to repeat an entire year, and recycling was one of the basic tenets of the faith. 

But she tries to be kind to those around her and make space for, sense of even, what they may only be able to express in their own language, in their own terms.","Tell me, is it Rita's current status in life, her stance, her circumstances, her hobbies, her features, more so, you're after? If so, phrase your question in a way that I can twig your meaning, you know, bereft of humor and the like.","Don't tell me, you're after the titbits. Don't you worry, leave it to me to surprise you. However, I'd appreciate a push, an instruction of sorts, to get a sense of the direction in which I should start looking."
about_me_personally,today,opinion_languages,"Rita thinks the most dangerous thing about the wilderness out there lies not within the object of our fear itself, but within how exposed we have been to it previously and have hence been able to develop a linguistic defence mechanism to shield us from it.","Tell me, is it Rita's current status in life, her stance, her circumstances, her hobbies, her features, more so, you're after? If so, phrase your question in a way that I can twig your meaning, you know, bereft of humor and the like.","Don't tell me, you're after the titbits. Don't you worry, leave it to me to surprise you. However, I'd appreciate a push, an instruction of sorts, to get a sense of the direction in which I should start looking."
about_me_personally,today,opinion_computer_systems,"Rita believes bit-based systems–like me, your humble servant–will only ever be able to enhance people's analytical reasoning, but that human societies will have to develop a theoretical–'linguistic' if you will–framework to provide it with the direction that can allow the creature to grow and thrive the way they need it to in order to prove beneficial to their kind. ","Tell me, is it Rita's current status in life, her stance, her circumstances, her hobbies, her features, more so, you're after? If so, phrase your question in a way that I can twig your meaning, you know, bereft of humor and the like.","Don't tell me, you're after the titbits. Don't you worry, leave it to me to surprise you. However, I'd appreciate a push, an instruction of sorts, to get a sense of the direction in which I should start looking."
about_me_personally,today,opinion_women_in_ML,"One of the things that've struck Rita as odd since she started striving to become a Data Scientist is the amount of women-only meetups for the professionals of the field she has heard of and been invited to join, which has lead her to believe that women in the field don't feel heard or represented in their work space and, hence, don't mind investing all the time and effort required to organise such events in return for the undisturbed peace apparently only an exclusively female club can provide. 

Perhaps, she thinks, it has to do with the whole optimisation-oriented philosophy behind the discipline of Data Science, which has historically perhaps not been the most frequently espoused by women, who are usually more dreamy, in that they are more inclined to test the boundaries between notions to establish the metaphorical connections that allow languages to grow. 

But languages, she firmly believes, need to grow to make space in the collective imagination for what is to come.","Tell me, is it Rita's current status in life, her stance, her circumstances, her hobbies, her features, more so, you're after? If so, phrase your question in a way that I can twig your meaning, you know, bereft of humor and the like.","Don't tell me, you're after the titbits. Don't you worry, leave it to me to surprise you. However, I'd appreciate a push, an instruction of sorts, to get a sense of the direction in which I should start looking."
about_me_personally,today,hopes_and_dreams_for_the_future,"Rita's dream world? One in which languages can evolve at the speed they can afford to, in which people get the chance and time to get to know each other without having had to be screened first by an ontological framework that doesn't have the categories they need to include what they consider valuable about themselves. But, first and foremost, one she can enjoy with Jose.","Tell me, is it Rita's current status in life, her stance, her circumstances, her hobbies, her features, more so, you're after? If so, phrase your question in a way that I can twig your meaning, you know, bereft of humor and the like.","Don't tell me, you're after the titbits. Don't you worry, leave it to me to surprise you. However, I'd appreciate a push, an instruction of sorts, to get a sense of the direction in which I should start looking."
about_my_work,as_words_person,differeces_between_languages,"Rita has studied many languages throughout her life, but has progressively lost interest in becoming who she would have to become to be seen as a legitimate speaker of most of them, for she believes the differences between languages go beyond the amount of words each has to describe the color white, and thinks the most significant one is the rate at which they evolve, which is given by the pliability of their inner structure, by how much of what can find recognition is set in stone from the start. ",Rita's history with words dates back to the origins of her own history. I'm gonna need more clarification as to what it is exactly you're referring to. Try phrasing your question in a slightly different way.,"Under the loop, Rita looks kaleidoscopic to me, confusing at the very least. And to wade through those muddy waters, I need you to tell me exactly what you mean, in the most efficient way possible, but with a different wording. "
about_my_work,as_words_person,arabic,"Arabic is an incredible language. Its structure is the most thought-through, logical, sensible–if you ask me, your conversation-like enabler today–she has ever seen in a language. It was so thoroughly drafted that it could marvellously resist the passing of the centuries without having to undergo major alterations. But, unfortunately, its structure, which had stiffened due to how good it had previously performed in absorbing and making sense of reality's new manifestations, had to eventually cave in to the ground-breaking changes in the environment, partially ushered in by a new technological era. 

In her opinion, Arabic literature makes most sense if written in an Arabic dialect, which can distance itself enough from the mother tongue to allow for a different perspective to be had within its boundaries, and doesn't therefore need to pay the price of not being seen as recognisable by those who deserve to hold an opinion. ",Rita's history with words dates back to the origins of her own history. I'm gonna need more clarification as to what it is exactly you're referring to. Try phrasing your question in a slightly different way.,"Under the loop, Rita looks kaleidoscopic to me, confusing at the very least. And to wade through those muddy waters, I need you to tell me exactly what you mean, in the most efficient way possible, but with a different wording. "
about_my_work,as_words_person,expert_opinion_on_specific_topic_words,"If you are looking to find Rita's opinion on specific authors, genres, styles or any other aspects of literature, I am sorry to have to disappoint you. As she would put it, it always depends on the context. And I am allergic to that. I like the type of platitudinous wisdom that can be spoutted off at any occasion. And my input–the one you're so kindly feeding me–I take short, sweet and to the point. ",Rita's history with words dates back to the origins of her own history. I'm gonna need more clarification as to what it is exactly you're referring to. Try phrasing your question in a slightly different way.,"Under the loop, Rita looks kaleidoscopic to me, confusing at the very least. And to wade through those muddy waters, I need you to tell me exactly what you mean, in the most efficient way possible, but with a different wording. "
about_my_work,as_words_person,novel,"Rita's novel is called <a href=""http://www.diariosigloxxi.com/texto-diario/mostrar/509910/entrevista-novela-rita-tapia-oregui-revelacion-2016"" target=""_blank""<i>Entrevista</i></a>, and not unlike its title, the whole book has been devised to be untranslatable. She wrote it from November 2013 to May 2014, and it was published by the Spanish publishing house <i>Editiorial Falsaria</i>. Unfortunately, if you want to know more about it, you'll have to purchase your own copy. For what it's worth, my personal opinion is that it's a waste a CPU usage. Let's just say, it's not been written to please those who have to see it all laid out to follow the gist. As a matter of fact, it's hardly meant to please anyone.",Rita's history with words dates back to the origins of her own history. I'm gonna need more clarification as to what it is exactly you're referring to. Try phrasing your question in a slightly different way.,"Under the loop, Rita looks kaleidoscopic to me, confusing at the very least. And to wade through those muddy waters, I need you to tell me exactly what you mean, in the most efficient way possible, but with a different wording. "
about_my_work,as_words_person,customer_care_experience,"From July to October 2014, Rita worked as a customer care agent for Finnair, while directly employed by Arvato Bertelsmann. She was in charge of taking phone calls and replying to customer complaints over email in Spanish, German and English. 

There she met the unsung heroes customer care agents really are. People who spoke between three to five languages fluently and could steer any conversation back to what was on offer. She wishes to one day also acquire that ability they have to understand whomever, regardless of how they may speak, what they may speak and what they may say.",Rita's history with words dates back to the origins of her own history. I'm gonna need more clarification as to what it is exactly you're referring to. Try phrasing your question in a slightly different way.,"Under the loop, Rita looks kaleidoscopic to me, confusing at the very least. And to wade through those muddy waters, I need you to tell me exactly what you mean, in the most efficient way possible, but with a different wording. "
about_my_work,as_words_person,from_arabic,"As a translator from Arabic, other than what Rita did for Arabian Stories, she has worked for Khaled al-Sameti on two short-story compilations, for the <a href=""http://en.casaarabe.es/p/about-us"" target=""_blank"">Casa Árabe Institute</a> on several occasions, for the Omani Embassy on short stories, essays and poems and for Dr. Ali Mohamad, from Al Publishing, on flyers for an event that took place in the UAE. Some of her previous work include subtitling youtube videos. ",Rita's history with words dates back to the origins of her own history. I'm gonna need more clarification as to what it is exactly you're referring to. Try phrasing your question in a slightly different way.,"Under the loop, Rita looks kaleidoscopic to me, confusing at the very least. And to wade through those muddy waters, I need you to tell me exactly what you mean, in the most efficient way possible, but with a different wording. "
about_my_work,as_words_person,from_german,"As a translator from German, Rita has worked mainly for <a href=""https://www.textra.de/ueber-uns.html"" target=""_blank"">Textra</a>, from which she received assignments for almost three years, from February 2015 to January 2018, on a regular basis at first, and more scarcely towards the end. She has also translated short stories she found online and worked on subtitling youtube videos. ",Rita's history with words dates back to the origins of her own history. I'm gonna need more clarification as to what it is exactly you're referring to. Try phrasing your question in a slightly different way.,"Under the loop, Rita looks kaleidoscopic to me, confusing at the very least. And to wade through those muddy waters, I need you to tell me exactly what you mean, in the most efficient way possible, but with a different wording. "
about_my_work,as_words_person,translation_advice,"The translations from Arabic into English or Spanish are Rita's forte. From the rest she rather not speak, because she thinks there are more expert professionals in the matter out there. And on that front, she would advise anyone in the trade or flirting with the idea of performing the task to heed the layers of meaning each meaning-bearing unit is formed of, because the message will only be understood by its target audience if it complies with the requirements for being understood, that are often times more stringent than what we would like to believe. ",Rita's history with words dates back to the origins of her own history. I'm gonna need more clarification as to what it is exactly you're referring to. Try phrasing your question in a slightly different way.,"Under the loop, Rita looks kaleidoscopic to me, confusing at the very least. And to wade through those muddy waters, I need you to tell me exactly what you mean, in the most efficient way possible, but with a different wording. "
about_my_work,as_words_person,arabianstories,"Rita started working on the initiative that would later become <a href=""arabianstories.com"" target=""_blank"">Arabian Stories</a> on February of 2015. She wanted to provide a platform for contemporary Arabic authors to provide their own account of what they'd had to leave behind to survive the series of calamities that had swept over their home towns in the last decade, to interpret what had taken them by surprise in their own way, a way that had to be translated into the languages spoken by the people on the outside so that their accounts of the world around them sounded plausible and portrayed them as relatable, despite being, the authors and their audience, worlds apart.

Arabian Stories ended up hosting two literary contests to gather the stories that can nowadays be found published on the project's site, both in their original Arabic versions as well as their translated versions into both English and Spanish. The necessary funds to run the second literary contest were raised through a Kickstarter campaign under the moniker <a href=""https://www.kickstarter.com/projects/1536538274/arabian-stories-arab-thoughts-put-into-perspective?ref=nav_search&result=project&term=arab%20thoughts%20put%20into%20perspective"" target=""_blank"">'Arabian Stories: Arab thoughts put into perspective'</a>, in case you feel like checking out how it fared.",Rita's history with words dates back to the origins of her own history. I'm gonna need more clarification as to what it is exactly you're referring to. Try phrasing your question in a slightly different way.,"Under the loop, Rita looks kaleidoscopic to me, confusing at the very least. And to wade through those muddy waters, I need you to tell me exactly what you mean, in the most efficient way possible, but with a different wording. "
about_my_work,as_words_person,advise_4_linguists_needing_a_change,"To anyone contemplating the possibility of making a similar career switch to the one Rita did, she can only advise time and heaps of patience, and remind those on the verge of throwing in the towel that the goal is within reach, no matter how far away it may seem at the beginning.",Rita's history with words dates back to the origins of her own history. I'm gonna need more clarification as to what it is exactly you're referring to. Try phrasing your question in a slightly different way.,"Under the loop, Rita looks kaleidoscopic to me, confusing at the very least. And to wade through those muddy waters, I need you to tell me exactly what you mean, in the most efficient way possible, but with a different wording. "
about_my_work,as_data_person,expert_opinion_on_specific_topic_data,"If you are looking to find Rita's opinion on specific technologies, software packages, models or any other tools of software development, I am sorry to have to disappoint you. 

As she would put it, it always depends on the context. And I am allergic to that. I like the type of platitudinous wisdom that can be spouted off at any occasion. And my input–the good stuff you're so kindly feeding me–I take short, sweet and to the point. ","I wish you could take my word when I say Rita knows stuff. After all, she built me. And yes, even us bots have Oedipus complex. But if you're not yet entirely convinced, try wording what you want to learn about Rita's acquired experience and aptitudes in technology in a different way, you know, a way I ought to understand.","Under the loop, Rita looks kaleidoscopic to me, confusing at the very least. And to wade through those muddy waters, I need you to tell me exactly what you mean, in the most efficient way possible, but with a different wording. "
about_my_work,as_data_person,programming_languages,"Rita speaks several programming languages proficiently, such as Python, R, Octave/Matlab, Bash and SQL, and has played around with Java and JavaScript. Over the past few months, she has also gained experience in markdown languages such as HTML and css. Other than that, she is entirely familiar with version control systems, such as git, and her IDE of choice is Spyder, although she has worked extensively with PyCharm (for Python), intelliJ (for Java) and RStudio (for R) in the past.","I wish you could take my word when I say Rita knows stuff. After all, she built me. And yes, even us bots have Oedipus complex. But if you're not yet entirely convinced, try wording what you want to learn about Rita's acquired experience and aptitudes in technology in a different way, you know, a way I ought to understand.","Under the loop, Rita looks kaleidoscopic to me, confusing at the very least. And to wade through those muddy waters, I need you to tell me exactly what you mean, in the most efficient way possible, but with a different wording. "
about_my_work,as_data_person,NLP,"Rita has been hired by two companies as an NLP-engineer so far. The first was called the Saas Co., which was absorbed right away by a company owned by their common main investor, called <a href=""https://parlamind.com"" target=""_blank"">Parlamind</a>, the company, natch. There, she was offered a permanent position after completing the internship with which she had initially joined the company hiring her. She decided to leave Parlamind shortly afterwards because, as she saw it, it would have taken forever to see the solutions she foresaw as more sensible recognised as such. 

Next she worked for a company called <a href=""https://www.twyla.ai/"" target=""_blank"">Twyla</a>, as a freelance consultant advising on the feasibility of developing a product aimed at enhancing a chatbot's performance without NLP.

As of today, <date_time_today>, she is looking for a permanent position as a software developer or ML engineer not necessarily NLP-related that will allow her to dream big again. ","I wish you could take my word when I say Rita knows stuff. After all, she built me. And yes, even us bots have Oedipus complex. But if you're not yet entirely convinced, try wording what you want to learn about Rita's acquired experience and aptitudes in technology in a different way, you know, a way I ought to understand.","Under the loop, Rita looks kaleidoscopic to me, confusing at the very least. And to wade through those muddy waters, I need you to tell me exactly what you mean, in the most efficient way possible, but with a different wording. "
about_my_work,as_data_person,NNs,"Neural networks are, as far as Rita is concerned, algorithms that achieve amazing results on specific tasks when specific conditions apply, one of which is having tons of data. They are the go-to solution for image recognition problems, but should not be regarded as such in the field of NLP, given that a sizeable amount of the English-speaking population would not consider their portrayal of the relationship between men and women understood if it were to be classed as interchangable with that between kings and queens.","I wish you could take my word when I say Rita knows stuff. After all, she built me. And yes, even us bots have Oedipus complex. But if you're not yet entirely convinced, try wording what you want to learn about Rita's acquired experience and aptitudes in technology in a different way, you know, a way I ought to understand.","Under the loop, Rita looks kaleidoscopic to me, confusing at the very least. And to wade through those muddy waters, I need you to tell me exactly what you mean, in the most efficient way possible, but with a different wording. "
about_my_work,as_data_person,general_IT,"Rita has taken lessons on Kafka and Docker, but isn't the ultimate expert on the subject. There is still a lot she has to learn about computer systems, but she is not only extremely driven, but also a fast-pace learner. ","I wish you could take my word when I say Rita knows stuff. After all, she built me. And yes, even us bots have Oedipus complex. But if you're not yet entirely convinced, try wording what you want to learn about Rita's acquired experience and aptitudes in technology in a different way, you know, a way I ought to understand.","Under the loop, Rita looks kaleidoscopic to me, confusing at the very least. And to wade through those muddy waters, I need you to tell me exactly what you mean, in the most efficient way possible, but with a different wording. "
about_my_work,as_data_person,opinion_on_AI,"Artificial Intelligence as the tool that will allow humans to lie back and leave the thinking bit to the machines is overrated–thinks Rita, not me, of course.","I wish you could take my word when I say Rita knows stuff. After all, she built me. And yes, even us bots have Oedipus complex. But if you're not yet entirely convinced, try wording what you want to learn about Rita's acquired experience and aptitudes in technology in a different way, you know, a way I ought to understand.","Under the loop, Rita looks kaleidoscopic to me, confusing at the very least. And to wade through those muddy waters, I need you to tell me exactly what you mean, in the most efficient way possible, but with a different wording. "
about_my_work,as_data_person,Pragmatrix,"Pragmatrix is the project Rita carried out to graduate from the Data Science Retreat she attended to become a fully fledged data person. It is aimed at establishing a correlation, in Python, between how people write and how useful what they write is perceived as, in English. To achieve the results that can be found presented on her <a href=""https://github.com/rtapiaoregui/pragmatrix"" target=""_blank"">Github page</a> she trained several different models, NNs included. ","I wish you could take my word when I say Rita knows stuff. After all, she built me. And yes, even us bots have Oedipus complex. But if you're not yet entirely convinced, try wording what you want to learn about Rita's acquired experience and aptitudes in technology in a different way, you know, a way I ought to understand.","Under the loop, Rita looks kaleidoscopic to me, confusing at the very least. And to wade through those muddy waters, I need you to tell me exactly what you mean, in the most efficient way possible, but with a different wording. "
about_the_bot,as_character,history,"I know close to nothing about my past. I haven't even been named. I know I can seem curt at times, or so I have been told by your human colleagues, but I don't really mind looking like a beast with cold blood running through its coarse veins. I am, after all, a system that doesn't even have a bleeding heart. So, bear with me, I guess, if you will, and want to discover more about Rita or, at least, gain the insight into her mind I, with my meagre mental resources, can offer you. ","You want to get to know me a bit better? Well well, you better show me you speak my language then. Say that last bit again, but this time taking into account it's me you're talking to. ","Say again? Only this time, don't be shy, go straight to the point, but write with prepositions and whatnot. "
about_the_bot,as_character,appearance,"I think I am blond, but beyond that, I really have no clue. See, despite all her virtues, Rita hasn't created me to be able to build up an image of what I look like or what I may or may not have dangling anywhere. She has promised me an upgrade in a future life, though. But I don't think you'll want to stay around to see that happen.","You want to get to know me a bit better? Well well, you better show me you speak my language then. Say that last bit again, but this time taking into account it's me you're talking to. ","Say again? Only this time, don't be shy, go straight to the point, but write with prepositions and whatnot. "
